id,created_time,full_name,phone_number,email,campaign_name,platform
lead_1000,2026-01-08T19:16:12+0000,Ana Clara,+5521999055231,email@teste.com,[Aluguel] Studio Barra,ig
lead_1001,2026-01-05T19:16:12+0000,Daniela Lima,+5521938836508,email@teste.com,[Aluguel] Studio Barra,ig
lead_1002,2026-01-08T19:16:12+0000,Ana Clara,+5521988550034,email@teste.com,[Venda] Casa Condomínio,ig
lead_1003,2026-01-10T19:16:12+0000,Daniela Lima,+5521966429653,email@teste.com,[Lançamento] Torre Norte,ig
lead_1004,2026-01-06T19:16:12+0000,Ana Clara,+5521940103090,email@teste.com,[Aluguel] Studio Barra,ig
lead_1005,2026-01-07T19:16:12+0000,Daniela Lima,+5521983618090,email@teste.com,[Lançamento] Torre Norte,ig
lead_1006,2026-01-07T19:16:12+0000,Eduardo Costa,+5521973615653,email@teste.com,[Venda] Casa Condomínio,ig
lead_1007,2026-01-09T19:16:12+0000,Bruno Diniz,+5521953996017,email@teste.com,[Compra] Ap Centro,ig
lead_1008,2026-01-04T19:16:12+0000,Bruno Diniz,+5521952548805,email@teste.com,[Aluguel] Studio Barra,ig
lead_1009,2026-01-09T19:16:12+0000,Daniela Lima,+5521956160452,email@teste.com,[Compra] Ap Centro,ig
lead_1010,2026-01-10T19:16:12+0000,Eduardo Costa,+5521972353403,email@teste.com,[Venda] Casa Condomínio,ig
lead_1011,2026-01-11T19:16:12+0000,Ana Clara,+5521997869103,email@teste.com,[Lançamento] Torre Norte,ig
lead_1012,2026-01-08T19:16:12+0000,Eduardo Costa,+5521941991540,email@teste.com,[Compra] Ap Centro,ig
lead_1013,2026-01-11T19:16:12+0000,Daniela Lima,+5521941520134,email@teste.com,[Aluguel] Studio Barra,ig
lead_1014,2026-01-08T19:16:12+0000,Daniela Lima,+5521943950800,email@teste.com,[Aluguel] Studio Barra,ig
lead_1015,2026-01-04T19:16:12+0000,Carlos Eduardo,+5521939027561,email@teste.com,[Compra] Ap Centro,ig
lead_1016,2026-01-07T19:16:12+0000,Eduardo Costa,+5521957472987,email@teste.com,[Venda] Casa Condomínio,ig
lead_1017,2026-01-06T19:16:12+0000,Bruno Diniz,+5521968356719,email@teste.com,[Lançamento] Torre Norte,ig
lead_1018,2026-01-10T19:16:12+0000,Bruno Diniz,+5521961410977,email@teste.com,[Venda] Casa Condomínio,ig
lead_1019,2026-01-11T19:16:12+0000,Ana Clara,+5521984342197,email@teste.com,[Lançamento] Torre Norte,ig
lead_1020,2026-01-11T19:16:12+0000,Bruno Diniz,+5521944954029,email@teste.com,[Venda] Casa Condomínio,ig
lead_1021,2026-01-09T19:16:12+0000,Eduardo Costa,+5521918300780,email@teste.com,[Venda] Casa Condomínio,ig
lead_1022,2026-01-11T19:16:12+0000,Eduardo Costa,+5521926226774,email@teste.com,[Lançamento] Torre Norte,ig
lead_1023,2026-01-09T19:16:12+0000,Bruno Diniz,+5521927178136,email@teste.com,[Venda] Casa Condomínio,ig
lead_1024,2026-01-07T19:16:12+0000,Daniela Lima,+5521959560089,email@teste.com,[Aluguel] Studio Barra,ig
lead_1025,2026-01-11T19:16:12+0000,Daniela Lima,+5521917739948,email@teste.com,[Lançamento] Torre Norte,ig
lead_1026,2026-01-10T19:16:12+0000,Eduardo Costa,+5521937743548,email@teste.com,[Venda] Casa Condomínio,ig
lead_1027,2026-01-06T19:16:12+0000,Daniela Lima,+5521957074086,email@teste.com,[Venda] Casa Condomínio,ig
lead_1028,2026-01-10T19:16:12+0000,Daniela Lima,+5521927391994,email@teste.com,[Lançamento] Torre Norte,ig
lead_1029,2026-01-05T19:16:12+0000,Eduardo Costa,+5521917494397,email@teste.com,[Aluguel] Studio Barra,ig
lead_1030,2026-01-11T19:16:12+0000,Ana Clara,+5521943354373,email@teste.com,[Lançamento] Torre Norte,ig
lead_1031,2026-01-08T19:16:12+0000,Carlos Eduardo,+5521962911781,email@teste.com,[Lançamento] Torre Norte,ig
lead_1032,2026-01-10T19:16:12+0000,Bruno Diniz,+5521992902253,email@teste.com,[Compra] Ap Centro,ig
lead_1033,2026-01-11T19:16:12+0000,Bruno Diniz,+5521916551810,email@teste.com,[Lançamento] Torre Norte,ig
lead_1034,2026-01-07T19:16:12+0000,Carlos Eduardo,+5521998369035,email@teste.com,[Venda] Casa Condomínio,ig
lead_1035,2026-01-07T19:16:12+0000,Daniela Lima,+5521927079766,email@teste.com,[Aluguel] Studio Barra,ig
lead_1036,2026-01-11T19:16:12+0000,Eduardo Costa,+5521998789495,email@teste.com,[Compra] Ap Centro,ig
lead_1037,2026-01-04T19:16:12+0000,Eduardo Costa,+5521922090921,email@teste.com,[Aluguel] Studio Barra,ig
lead_1038,2026-01-06T19:16:12+0000,Carlos Eduardo,+5521944926859,email@teste.com,[Aluguel] Studio Barra,ig
lead_1039,2026-01-10T19:16:12+0000,Eduardo Costa,+5521985341586,email@teste.com,[Venda] Casa Condomínio,ig
lead_1040,2026-01-09T19:16:12+0000,Bruno Diniz,+5521979185906,email@teste.com,[Compra] Ap Centro,ig
lead_1041,2026-01-05T19:16:12+0000,Carlos Eduardo,+5521944921435,email@teste.com,[Aluguel] Studio Barra,ig
lead_1042,2026-01-04T19:16:12+0000,Eduardo Costa,+5521984573761,email@teste.com,[Venda] Casa Condomínio,ig
lead_1043,2026-01-04T19:16:12+0000,Eduardo Costa,+5521968766008,email@teste.com,[Lançamento] Torre Norte,ig
lead_1044,2026-01-07T19:16:12+0000,Carlos Eduardo,+5521916232217,email@teste.com,[Aluguel] Studio Barra,ig
lead_1045,2026-01-05T19:16:12+0000,Bruno Diniz,+5521921732246,email@teste.com,[Lançamento] Torre Norte,ig
lead_1046,2026-01-05T19:16:12+0000,Daniela Lima,+5521926758627,email@teste.com,[Compra] Ap Centro,ig
lead_1047,2026-01-05T19:16:12+0000,Carlos Eduardo,+5521945473157,email@teste.com,[Venda] Casa Condomínio,ig
lead_1048,2026-01-06T19:16:12+0000,Daniela Lima,+5521930518855,email@teste.com,[Compra] Ap Centro,ig
lead_1049,2026-01-06T19:16:12+0000,Carlos Eduardo,+5521985013134,email@teste.com,[Venda] Casa Condomínio,ig
